实际值	预测值
1	1.0231962649261814
1	1.11881007565115
1	1.0202297931250786
1	0.9823469311963895
1	1.0745904314920465
1	1.056920233358154
1	1.0421754001136265
1	1.0456248137451554
1	1.0260925457622552
1	0.9889539460983219
1	0.9838931736102501
1	1.1275519518419428
1	0.9977296566944158
1	1.1565632281420686
1	1.0198324199384419
1	0.9717082331038162
1	1.123452817006306
1	1.0561388198019734
1	0.9864598651797322
1	1.0541446416663498
1	1.025222675715146
1	0.9918919089278899
1	1.090713181673781
1	1.065107900151975
1	1.0132999579198674
1	0.973076402874574
1	0.9889083757625297
1	1.130913273251151
1	1.0872792544857337
1	1.0082555791596008
1	1.0735443654872312
1	1.0006910730517382
1	1.002931763748515
1	1.0225369946468197
1	1.1042548266794856
1	1.0541560408328008
1	1.0983992143220602
1	0.9445409947605521
1	1.1244528515963972
1	1.110979295524986
1	0.9728262757165209
1	1.00229140824309
1	1.0131172218717683
1	1.110348402269256
1	1.0751557356203563
2	1.367168467607319
1	0.9927485089636165
1	1.11007113388386
1	0.9164120737475944
1	1.1962971600430332
1	1.0013494475640974
1	0.9900372491155525
1	0.877835558377248
1	1.0694809396854505
1	1.1383404201203278
1	0.9650416704558031
1	1.0024628049507114
1	0.9947418812287723
2	1.0746846295136958
1	0.9814865183518386
1	0.9298865279426048
1	0.9884213023791787
1	1.0672537785408114
1	1.0657155550786657
