UserID,UserName,Age,Gender,Location,LastLogin,PurchaseAmount,PurchaseCategory,ReviewScore,LoginFrequency
1,User_1,62,Female,Location_1,2023-06-10,-1.3641669172479804,Clothing,0.019607500567566948,Monthly
2,User_2,65,Female,Location_2,2023-08-14,-0.15734158644754723,Electronics,0.7198753779806717,Weekly
3,User_3,18,Male,Location_3,2023-02-17,1.2402176328414602,Home & Garden,0.019607500567566948,Weekly
4,User_4,21,Female,Location_4,2023-03-14,-0.08798380881533842,Books,-0.6806603768455378,Weekly
5,User_5,21,Male,Location_5,2023-07-26,0.8379425225746492,Home & Garden,-1.3809282542586425,Monthly
6,User_6,57,Female,Location_6,2023-02-20,0.40792430125495455,Books,-0.6806603768455378,Monthly
7,User_7,27,Female,Location_7,2023-01-27,-1.3815063616560328,Home & Garden,-1.3809282542586425,Weekly
8,User_8,37,Female,Location_8,2023-03-11,-1.3953779171824745,Home & Garden,-1.3809282542586425,Daily
9,User_9,39,Female,Location_9,2023-01-06,-0.30299291947518575,Food,-0.6806603768455378,Weekly
10,User_10,68,Female,Location_10,2023-10-04,0.8830250780355849,Home & Garden,-0.6806603768455378,Monthly
11,User_11,54,Male,Location_11,2023-03-22,1.5107129656070746,Books,0.7198753779806717,Daily
12,User_12,41,Male,Location_12,2023-03-23,0.8899608557988058,Food,-0.6806603768455378,Daily
13,User_13,24,Female,Location_13,2023-11-10,-0.37581858598900497,Home & Garden,1.4201432553937765,Daily
14,User_14,42,Female,Location_14,2023-03-09,1.3338506326449422,Food,0.019607500567566948,Weekly
15,User_15,42,Male,Location_15,2023-08-16,1.1049699664586532,Home & Garden,0.7198753779806717,Daily
16,User_16,30,Male,Location_16,2023-06-03,-0.7018001408603863,Clothing,-1.3809282542586425,Daily
17,User_17,19,Female,Location_17,2023-04-03,1.2055387440253558,Food,1.4201432553937765,Monthly
18,User_18,56,Female,Location_18,2023-08-26,1.5419239655415686,Books,-0.6806603768455378,Weekly
19,User_19,57,Female,Location_19,2023-07-18,-0.3515433638177319,Clothing,-0.6806603768455378,Daily
20,User_20,41,Female,Location_20,2023-11-24,-1.5167540280388399,Home & Garden,1.4201432553937765,Daily
21,User_21,64,Male,Location_21,2023-06-22,1.0148048555367817,Home & Garden,0.019607500567566948,Monthly
22,User_22,42,Male,Location_22,2023-11-14,-1.2705339174444985,Clothing,1.4201432553937765,Monthly
23,User_23,35,Male,Location_23,2023-06-01,-0.21976358631653514,Electronics,-1.3809282542586425,Daily
