Unnamed: 0,SeriousDlqin2yrs,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents
0.0,0.0,0.957151019,0.2533333333333333,0.0,0.07338939506070351,0.15519608428341194,0.2,0.0,0.0,0.0,0.5
1.3333511113481512e-05,0.0,0.233809776,0.12,0.0,0.02170780129674974,0.1969796454366382,0.25,0.0,0.0,0.0,0.0
2.6667022226963028e-05,0.0,0.213178682,0.7066666666666667,0.0,0.2261767925921355,0.20891780576613145,0.15000000000000002,0.0,0.2,0.0,0.5
4.000053334044454e-05,0.0,0.754463648,0.24,0.0,0.12641820733043532,0.20891780576613145,0.4,0.0,0.0,0.0,0.0
6.000080001066681e-05,0.0,0.644225962,0.12,0.0,0.186355265845374,0.14922700411866532,0.25,0.0,0.0,0.0,0.0
6.666755556740757e-05,0.0,0.01879812,0.4,0.0,0.32006719797383465,0.3880499015101773,0.35000000000000003,0.0,0.4,0.0,1.0
7.333431112414832e-05,0.0,0.010351857,0.33333333333333337,0.0,0.17965792253522705,0.7433892437175431,0.65,0.0,0.4,0.0,1.0
9.333457779437059e-05,0.0,0.548458062,0.5733333333333334,0.0,0.12638914511529611,0.6782068883185102,0.35000000000000003,0.0,0.2,0.0,1.0
0.0001066680889078521,0.0,0.166284079,0.42666666666666664,0.0,0.11337175966801423,0.525279054497702,0.35000000000000003,0.0,0.0,0.0,0.0
0.00011333484446459285,0.0,0.221812771,0.29333333333333333,0.0,0.31787476838166334,0.1957858294036889,0.35000000000000003,0.0,0.2,0.0,1.0
0.00017333564447525966,0.0,0.034421473,0.64,0.0,0.025521522287680797,0.14922700411866532,0.8500000000000001,0.0,0.0,0.0,0.5
0.0001800024000320004,0.0,0.452515828,0.03999999999999998,0.0,0.007082193204311594,0.20294872560138483,0.05,0.0,0.0,0.0,0.0
0.00020000266670222269,0.0,0.9999999,0.03999999999999998,0.0,0.28464451264699014,0.04476810123559959,0.05,0.0,0.0,0.0,0.0
0.0002133361778157042,0.0,0.186868556,0.48,0.0,0.18896630863699257,0.4178356115322629,0.45,0.0,0.4,0.0,0.0
0.0002266696889291857,0.0,0.0,0.5733333333333334,0.0,0.04428235969070628,0.6565988181221274,0.45,0.0,0.2,0.0,0.0
0.00024666995559940796,0.0,0.363636364,0.06666666666666665,0.0,0.006015619001369912,0.059690801647466124,0.05,0.0,0.0,0.0,0.0
0.00025333671115614873,0.0,0.304490668,0.41333333333333333,0.0,0.4867530978418201,0.20891780576613145,0.5,0.0,0.4,0.0,0.0
0.000273336977826371,0.0,0.469056842,0.13333333333333336,0.0,0.02903090504789493,0.5521399152390617,0.2,0.0,0.0,0.0,0.5
0.00028000373338311175,0.0,0.718705378,0.09333333333333332,0.0,0.10244342860498869,0.21852802483137349,0.2,0.0,0.0,0.0,0.5
0.000300004000053334,0.0,0.061440132,0.5466666666666667,0.0,0.006724863384661471,0.18701128156151137,0.1,0.0,0.0,0.0,0.0
0.00030667075561007477,0.0,0.140110634,0.13333333333333336,0.0,0.4151137174587004,0.11562108279114189,0.2,0.0,0.4,0.0,0.0
0.00031333751116681554,0.0,0.834048027,0.22666666666666668,0.0,0.23704888821166106,0.7759804214170597,0.65,0.0,0.4,0.0,1.0
0.00034000453339377856,0.0,0.9999999,0.5466666666666667,0.0,0.0,0.3192264072106488,0.05,0.0,0.0,0.0,0.0
0.0003466712889505193,0.0,0.028562367,0.4,0.0,0.18449174395747317,0.34322210947293025,0.25,0.0,0.2,0.0,0.0
0.00035333804450726004,0.0,0.992015968,0.10666666666666669,0.0,0.0048561568693576565,0.13317017847549692,0.05,0.0,0.0,0.0,0.0
0.0003600048000640008,0.0,0.070853769,0.45333333333333337,0.0,0.044046899325362134,0.8233152271235002,0.2,0.0,0.2,0.0,0.0
0.0003733383111774823,0.0,0.401199782,0.5733333333333334,0.0,0.2115152973638862,0.19196561809825108,0.2,0.0,0.2,0.0,0.0
0.00038667182229096383,0.0,0.655569945,0.18666666666666665,0.0,0.1575319271447992,0.3469826299767206,0.5,0.0,0.0,0.0,1.0
